,position,release_name,artist_name,release_date,release_type,primary_genres,secondary_genres,descriptors,avg_rating,rating_count,review_count
805,805,Lemonade,Beyoncé,2016-04-23,album,"Contemporary R&B, Pop","Alternative R&B, Pop Rap, Art Pop","breakup, introspective, angry, femalevocals, conceptalbum, passionate, boastful, triumphant, eclectic, love",3.52,9073,90
4179,4179,A Little Man and a House and the Whole World Window,Cardiacs,1988-03-21,album,"Progressive Rock, Art Punk, Zolo","Avant-Prog, Post-Punk, Progressive Pop,2Tone","energetic, playful, complex, technical, anxious, manic, progressive, humorous, eclectic, uncommontimesignatures",3.77,2564,54
2836,2836,Matangi,M.I.A.,2013-11-05,album,"UKHip Hop, Experimental Hip Hop, Electropop","Trap[EDM], Moombahton, Experimental Hip Hop, Alternative R&B","political, complex, aggressive, conscious, femalevocals, spiritual, boastful, sexual, playful, surreal",3.42,3589,31
2124,2124,Tarot Sport,Fuck Buttons,2009-10-20,album,"Electronic, Neo-Psychedelia","Minimal Techno, Drone, Noise, Post-Industrial, Trance","uplifting, warm, repetitive, psychedelic, rhythmic, noisy, epic, triumphant, lush, dense",3.62,4519,84
1490,1490,Draining Love Story,Sewerslvt,2020-01-25,album,Atmospheric Drumand Bass,"Liquid Drumand Bass, Ambient, Breakbeat","atmospheric, sampling, depressive, suicide, melancholic, nocturnal, futuristic, hypnotic, ethereal, dark",3.36,6017,46
4030,4030,American Don,Don Caballero,2000-10-03,album,Math Rock,Post-Rock,"instrumental, uncommontimesignatures, complex, technical, playful, warm, autumn, mellow, melodic, repetitive",3.65,2650,33
1950,1950,Mark Hollis,Mark Hollis,1998-01-26,album,Singer-Songwriter,"Chamber Jazz, Post-Rock, Chamber Pop","sparse, melancholic, malevocals, minimalistic, introspective, calm, atmospheric, poetic, acoustic, meditative",3.81,4849,96
2841,2841,Honey,Robyn,2018-10-26,album,"Dance-Pop, Electropop, House","Deep House, Ambient House, Nu-Disco, Synthpop","femalevocals, atmospheric, sensual, warm, rhythmic, love, melodic, sexual, romantic, ethereal",3.43,3587,24
1904,1904,I'm All Ears,Let's Eat Grandma,2018-06-29,album,"Synthpop, Electropop, Art Pop","Progressive Pop, Indietronica, Neo-Psychedelia","femalevocals, melodic, progressive, atmospheric, lush, bittersweet, eclectic, nocturnal, love, quirky",3.46,4952,43
4656,4656,Myth Takes,!!!,2007-03-05,album,"Dance-Punk, Indie Rock, New Rave","Funk Rock, Alternative Dance, Psychedelic Rock","malevocals, rhythmic, psychedelic, party, energetic, quirky, anxious",3.25,2335,56
1992,1992,Mutant,Arca,2015-11-20,album,"IDM, Deconstructed Club, Epic Collage","Wonky, Glitch Hop, Glitch, Epic Collage, Post-Industrial","futuristic, instrumental, surreal, chaotic, anxious, ominous, infernal, dark, cold, aggressive",3.41,4751,29
2007,2007,Fifth Dimension,The Byrds,1966-07-18,album,"Folk Rock, Psychedelic Rock",Psychedelic Pop,"psychedelic, melodic, mellow, pastoral, malevocals, calm, peaceful, spring, love, sciencefiction",3.73,4717,144
1015,1015,Eternal Atake,Lil Uzi Vert,2020-03-06,album,"Trap, Pop Rap","Cloud Rap, Rage","space, malevocals, boastful, sexual, hedonistic, drugs, repetitive, futuristic, energetic, sciencefiction",2.73,7762,81
2662,2662,Soon Over Babaluma,Can,1974-11-01,album,Krautrock,"Jazz Fusion, Psychedelic Rock","hypnotic, malevocals, progressive, atmospheric, rhythmic, psychedelic, cryptic, eclectic, abstract, tribal",3.57,3766,67
875,875,An Empty Bliss Beyond This World,The Caretaker,2011-06-06,album,"Ambient, Turntable Music","British Dance Band, Plunderphonics, Dixieland","melancholic, lonely, atmospheric, sampling, mellow, instrumental, mysterious, lo-fi, bittersweet, ominous",3.69,8656,100
3089,3089,Engravings,Forest Swords,2013-08-26,album,Ambient Dub,"Downtempo, Neo-Psychedelia, Folktronica, Tribal Ambient","psychedelic, hypnotic, forest, sampling, rhythmic, tribal, repetitive, mysterious, atmospheric, nocturnal",3.49,3342,29
2159,2159,Making Movies,Dire Straits,1980-10-17,album,"Pop Rock, Rock",Roots Rock,"malevocals, rhythmic, love, playful, romantic, melodic, anthemic, uplifting, passionate",3.67,4471,106
2399,2399,The Works,Queen,1984-02-27,album,Pop Rock,"Hard Rock, Synthpop","melodic, malevocals, energetic, anthemic, eclectic, conscious, sentimental, uplifting, rhythmic",3.22,4122,83
4580,4580,Face Tat,Zach Hill,2010-10-19,album,"Noise Rock, Math Rock, Experimental Rock","Brutal Prog, Neo-Psychedelia, Noise Pop, Synth Punk","noisy, chaotic, malevocals, aggressive, psychedelic, energetic, dense, progressive, rhythmic, surreal",3.36,2372,19
3503,3503,Made in Heaven,Queen,1995-11-07,album,Pop Rock,"Hard Rock, Ambient","death, love, sentimental, melancholic, bittersweet, malevocals, longing, melodic, depressive, winter",3.16,2998,66
2942,2942,KISS,KISS,1974-07-01,album,"Hard Rock, Glam Rock",NA,"malevocals, hedonistic, party, boastful, rebellious, sexual, energetic, playful, melodic",3.45,3477,112
1423,1423,KOD,J. Cole,2018-04-20,album,Conscious Hip Hop,"Trap, Jazz Rap, Pop Rap, Political Hip Hop","drugs, conscious, malevocals, urban, introspective, lethargic, alcohol, rhythmic, conceptalbum, political",2.5,6228,55
4538,4538,Thrust,Herbie Hancock,1974-09-06,album,"Jazz-Funk, Jazz Fusion",Synth Funk,"instrumental, rhythmic, space, uplifting, improvisation, manic, complex",3.75,2393,43
2953,2953,The Gallery,Dark Tranquillity,1995-11-27,album,Melodic Death Metal,NA,"malevocals, complex, poetic, melodic, energetic, serious, melancholic, apocalyptic, progressive, heavy",3.72,3471,72
145,145,Random Access Memories,Daft Punk,2013-05-20,album,"Disco, Electronic","Synth Funk, Electro-Disco, Smooth Soul","rhythmic, melodic, party, uplifting, malevocals, playful, lush, warm, optimistic, eclectic",3.6,21420,284
3458,3458,The Diary,Scarface,1994-10-18,album,"Gangsta Rap, Southern Hip Hop",G-Funk,"crime, violence, nihilistic, aggressive, urban, introspective, boastful, angry, malevocals, vulgar",3.84,3029,50
2177,2177,Around the World in a Day,Prince and The Revolution,1985-04-22,album,"Psychedelic Soul, Pop Rock, Neo-Psychedelia","Psychedelic Pop, Funk Rock, Progressive Pop","psychedelic, warm, sexual, malevocals, romantic, summer, spiritual, femalevocals, dense, melodic",3.65,4426,128
485,485,Leviathan,Mastodon,2004-08-31,album,"Sludge Metal, Progressive Metal",NA,"energetic, conceptalbum, technical, aquatic, heavy, aggressive, malevocals, progressive, poetic, epic",3.86,12300,170
499,499,Damaged,Black Flag,1981-11-16,album,Hardcore Punk,Anarcho-Punk,"energetic, angry, aggressive, raw, rebellious, malevocals, sarcastic, noisy, nihilistic, manic",3.66,12045,208
4880,4880,Electric Music for the Mind and Body,Country Joe & The Fish,1967-04-01,album,"Acid Rock, Psychedelic Rock",Blues Rock,"psychedelic, drugs, hypnotic, malevocals, political, spiritual, surreal, dark, nocturnal, noisy",3.63,2227,85
937,937,The Unnatural World,Have a Nice Life,2014-02-04,album,"Post-Punk, Shoegaze","Drone, Post-Industrial, Gothic Rock","dark, sombre, depressive, atmospheric, melancholic, lo-fi, misanthropic, malevocals, philosophical, raw",3.56,8210,45
3389,3389,Everything Goes Numb,Streetlight Manifesto,2003-08-26,album,"Ska Punk, Third Wave Ska",NA,"energetic, bittersweet, uplifting, melodic, passionate, malevocals, rebellious, playful, anthemic, suicide",3.69,3085,57
3048,3048,Mass Romantic,The New Pornographers,2000-10-24,album,"Power Pop, Indie Pop",NA,"malevocals, femalevocals, energetic, passionate, romantic, melodic, love, uplifting",3.65,3385,68
347,347,Speaking in Tongues,Talking Heads,1983-06-01,album,"New Wave, Synth Funk","Synth Funk, Art Rock, Funk, Dance-Punk","playful, rhythmic, party, quirky, energetic, malevocals, sarcastic, anxious, urban, warm",3.88,14725,143
3838,3838,Jamboree,Beat Happening,1988-01-01,album,"Twee Pop, Lo-Fi/Slacker Rock","Noise Pop, Garage Rock, Punk Rock","malevocals, femalevocals, raw, lo-fi, playful, bittersweet, melodic, optimistic, noisy, longing",3.35,2775,44
994,994,Use Your Illusion I,Guns n' Roses,1991-09-17,album,Hard Rock,Heavy Metal,"vulgar, malevocals, energetic, rebellious, melodic, eclectic",3.27,7889,160
2904,2904,The Private Press,DJ Shadow,2002-06-04,album,"Instrumental Hip Hop, Experimental Hip Hop","Turntablism, Trip Hop, Breakbeat, Plunderphonics","urban, sampling, rhythmic, eclectic, surreal, repetitive, playful, instrumental, mysterious, introspective",3.53,3524,81
3589,3589,Little Oblivions,Julien Baker,2021-02-26,album,"Singer-Songwriter, Indie Rock",NA,"femalevocals, introspective, self-hatred, sad, sentimental, spiritual, drugs, bittersweet, passionate, melodic",3.24,2942,35
2898,2898,Over the Edge,Wipers,1983-01-01,album,"Punk Rock, Post-Punk","Post-Hardcore, Art Punk","dark, sombre, anxious, passionate, serious, energetic, alienation, angry, lonely, introspective",3.82,3528,51
3366,3366,Get a Grip,Aerosmith,1993-04-20,album,Hard Rock,Pop Rock,"malevocals, hedonistic, passionate, energetic, longing, love, playful, boastful, rhythmic",3.25,3103,103
4160,4160,Pop Tatari,Boredoms,1992-09-25,album,"Experimental Rock, Noise Rock","Psychedelic Rock, Sound Collage, Punk Rock, No Wave","manic, chaotic, humorous, playful, noisy, psychedelic, malevocals, avant-garde, quirky, eclectic",3.37,2574,34
2206,2206,New York,Lou Reed,1989-01-06,album,"Rock, Singer-Songwriter","Art Rock, Singer-Songwriter, Heartland Rock, Beat Poetry, Punk Blues","urban, political, poetic, sarcastic, deadpan, conscious, malevocals, pessimistic, violence, serious",3.73,4372,120
2956,2956,Infinite,Eminem,1996-11-12,album,Boom Bap,"Conscious Hip Hop, Jazz Rap","malevocals, lo-fi, urban, rhythmic, drugs, conscious, introspective, atmospheric, nocturnal, mellow",2.77,3469,80
2152,2152,Gumboot Soup,King Gizzard & The Lizard Wizard,2017-12-29,album,"Psychedelic Rock, Psychedelic Pop","Psychedelic Pop, Jazz-Rock, Neo-Psychedelia, Garage Rock, Heavy Psych","malevocals, psychedelic, warm, playful, uncommontimesignatures, surreal, eclectic, microtonal, hypnotic, abstract",3.32,4482,19
2212,2212,The Serpent's Egg,Dead Can Dance,1988-10-24,album,Neoclassical Darkwave,NA,"sombre, medieval, mythology, spiritual, atmospheric, ethereal, mysterious, folklore, femalevocals, malevocals",3.76,4360,65
2248,2248,The Great Cold Distance,Katatonia,2006-03-13,album,Alternative Metal,"Doom Metal, Gothic Metal, Gothic Rock","melancholic, atmospheric, lonely, dark, depressive, cold, malevocals, autumn, alienation, heavy",3.72,4318,75
899,899,1999,Prince,1982-10-27,album,Synth Funk,"Dance-Pop, Contemporary R&B, Pop Rock","sexual, rhythmic, party, vulgar, sensual, energetic, urban, futuristic, malevocals, passionate",3.9,8443,148
3295,3295,Hot Pink,Doja Cat,2019-11-07,album,"Pop Rap, Trap","Contemporary R&B, Dance-Pop","sexual, femalevocals, melodic, playful, energetic, sensual, vulgar, love, party, boastful",2.97,3154,21
4334,4334,A Weird Exits,Thee Oh Sees,2016-08-12,album,"Psychedelic Rock, Garage Rock",Krautrock,"raw, hypnotic, psychedelic, cryptic, mysterious, energetic, abstract, malevocals, dense, quirky",3.63,2492,11
1260,1260,Here Comes the Indian,Animal Collective,2003-06-17,album,"Neo-Psychedelia, Experimental","Noise, Psychedelic Folk, Tribal Ambient, Free Folk, Electronic, Electroacoustic, Freak Folk, Drone","psychedelic, tribal, forest, noisy, lo-fi, raw, manic, avant-garde, meditative, malevocals",3.19,6702,98
1382,1382,Pin Ups,David Bowie,1973-10-19,album,"Glam Rock, Pop Rock",NA,"malevocals, energetic, quirky, playful, melodic, eclectic, rhythmic",2.78,6340,139
1684,1684,Oxymoron,ScHoolboy Q,2014-02-25,album,"West Coast Hip Hop, Gangsta Rap, Hardcore Hip Hop",NA,"drugs, crime, boastful, sexual, hedonistic, vulgar, urban, malevocals, aggressive, rhythmic",3.32,5470,45
4529,4529,That's Harakiri,Sd Laika,2014-04-28,album,"Deconstructed Club, UKBass","Glitch, Industrial Techno, Grime","dark, rhythmic, cold, mechanical, noisy, urban, abstract, sampling, instrumental, ominous",3.44,2400,20
2702,2702,You,Gong,1974-10-01,album,"Space Rock, Canterbury Scene",Jazz-Rock,"psychedelic, playful, space, atmospheric, hypnotic, sciencefiction, drugs, progressive, eclectic, mythology",3.77,3725,83
2200,2200,Wind & Wuthering,Genesis,1976-12-27,album,Progressive Rock,Symphonic Prog,"fantasy, autumn, uncommontimesignatures, philosophical, romantic, passionate, mellow, melodic, pastoral, malevocals",3.61,4382,125
4438,4438,Spectrum,Billy Cobham,1973-10-01,album,"Jazz Fusion, Jazz-Rock",Jazz-Funk,"energetic, instrumental, technical, playful, rhythmic, uplifting, warm",3.76,2435,58
869,869,In Through the Out Door,Led Zeppelin,1979-08-15,album,Hard Rock,Blues Rock,"malevocals, melodic, playful, romantic, love, eclectic, uplifting, energetic",3.13,8690,251
2077,2077,Sunset Mission,Bohren & der Club of Gore,2000-04-28,album,Dark Jazz,NA,"nocturnal, atmospheric, dark, sombre, melancholic, urban, instrumental, lonely, lethargic, calm",3.79,4590,60
3276,3276,Beyond,Dinosaur Jr.,2007-05-01,album,"Alternative Rock, Indie Rock, Lo-Fi/Slacker Rock",Noise Rock,"malevocals, raw, energetic, noisy, bittersweet, warm, lethargic, lo-fi",3.61,3168,79
4207,4207,Practice What You Preach,Testament,1989-08-04,album,Thrash Metal,Heavy Metal,"political, energetic, heavy, aggressive, malevocals, melodic",3.52,2547,62
2274,2274,Reachin' (A New Refutation of Time and Space),Digable Planets,1993-02-09,album,"Jazz Rap, East Coast Hip Hop","Boom Bap, Conscious Hip Hop","conscious, warm, protest, summer, urban, introspective, calm, rhythmic, spiritual, mellow",3.81,4283,67
2243,2243,Butterfly 3000,King Gizzard & The Lizard Wizard,2021-06-11,album,"Neo-Psychedelia, Psychedelic Pop","Indietronica, Synthpop, Sunshine Pop, Progressive Pop","psychedelic, happy, melodic, malevocals, warm, uplifting, quirky, summer, playful, lush",3.36,4323,55
1827,1827,Ga Ga Ga Ga Ga,Spoon,2007-07-10,album,Indie Rock,"Indie Pop, Pop Rock, Garage Rock Revival, Art Rock","malevocals, melodic, rhythmic, energetic, conscious, melancholic, bittersweet, sarcastic, quirky, urban",3.66,5154,116
3358,3358,Sound & Color,Alabama Shakes,2015-04-21,album,Blues Rock,"Garage Rock, Neo-Soul, Art Rock","melodic, femalevocals, passionate, lush, love, rhythmic",3.45,3113,40
354,354,Operation: Doomsday,MF DOOM,1999-10-19,album,"Abstract Hip Hop, East Coast Hip Hop","Turntablism, Jazz Rap, Experimental Hip Hop","humorous, sampling, abstract, malevocals, playful, mellow, rhythmic, conceptalbum, urban, quirky",3.86,14640,122
1753,1753,Jackson C. Frank,Jackson C. Frank,1965-12-01,album,"Contemporary Folk, Singer-Songwriter",Acoustic Blues,"lonely, melancholic, depressive, acoustic, introspective, poetic, malevocals, longing, autumn, breakup",3.91,5330,73
968,968,British Steel,Judas Priest,1980-04-14,album,Heavy Metal,Hard Rock,"malevocals, rebellious, anthemic, energetic, heavy, melodic, boastful, triumphant, passionate, party",3.65,8040,183
3414,3414,Masterpiece,Big Thief,2016-05-27,album,Indie Rock,"Indie Folk, Americana","femalevocals, melodic, bittersweet, raw, mellow, passionate, sentimental, LGBT, autumn, love",3.6,3070,20
1364,1364,Killing Joke,Killing Joke,1980-10-05,album,Post-Punk,Industrial Rock,"mechanical, cold, anxious, political, war, energetic, rhythmic, malevocals, dark, angry",3.72,6377,104
2136,2136,Long Live Rock 'n' Roll,Rainbow,1978-05-07,album,"Hard Rock, Heavy Metal",NA,"fantasy, passionate, energetic, malevocals, melodic, uplifting, anthemic, heavy",3.85,4502,91
259,259,White Pony,Deftones,2000-06-20,album,Alternative Metal,"Nu Metal, Shoegaze, Post-Hardcore, Post-Metal","atmospheric, anxious, sexual, malevocals, melancholic, heavy, drugs, romantic, sombre, sensual",3.9,16957,229
4275,4275,America,John Fahey,1971-10-01,album,American Primitivism,Progressive Folk,"acoustic, instrumental, epic, meditative, pastoral, hypnotic, complex, technical, calm, lush",3.82,2519,31
3347,3347,Heavy Horses,Jethro Tull,1978-04-21,album,"Folk Rock, Progressive Rock","British Folk Rock, Hard Rock","pastoral, nature, spring, malevocals",3.77,3122,79
229,229,Fleet Foxes,Fleet Foxes,2008-06-03,album,"Chamber Folk, Indie Folk","Folk Pop, Baroque Pop","pastoral, nature, warm, lush, melodic, acoustic, malevocals, poetic, bittersweet, uplifting",3.75,18005,366
2968,2968,The Moon and the Melodies,"Harold Budd, Elizabeth Fraser, Robin Guthrie & Simon Raymonde",1986-11-10,album,"Ambient, Dream Pop",Ethereal Wave,"ethereal, atmospheric, soothing, nocturnal, winter, mysterious, lush, femalevocals, soft, hypnotic",3.6,3459,38
4095,4095,West Ryder Pauper Lunatic Asylum,Kasabian,2009-06-08,album,"Indie Rock, Neo-Psychedelia, Alternative Rock","Alternative Dance, Neo-Psychedelia, Britpop","melodic, psychedelic, energetic, malevocals, rhythmic, lush, anthemic",3.37,2619,56
2644,2644,Worlds,Porter Robinson,2014-08-12,album,"Electropop, Synthpop, Electronic Dance Music","Electro House, Midtempo Bass, Bitpop, Chillwave, Festival Progressive House","ethereal, bittersweet, lush, fantasy, conceptalbum, longing, atmospheric, passionate, uplifting, femalevocals",3.5,3790,35
2617,2617,Duke Ellington & John Coltrane,Duke Ellington & John Coltrane,1963-02-01,album,"Hard Bop, Cool Jazz",NA,"acoustic, improvisation, instrumental, mellow, soft, soothing, melodic, calm, nocturnal, warm",3.79,3834,37
1699,1699,Your Queen Is a Reptile,Sons of Kemet,2018-03-30,album,Afro-Jazz,"Afrobeat, Jazz-Funk, Dub, Jazz Poetry","rhythmic, protest, passionate, energetic, malevocals, conscious, tribal, political, eclectic, conceptalbum",3.7,5434,42
896,896,This Old Dog,Mac DeMarco,2017-05-05,album,"Singer-Songwriter, Indie Pop, Folk Pop","Psychedelic Pop, Soft Rock, Bedroom Pop","mellow, bittersweet, introspective, sentimental, warm, malevocals, soft, love, melodic, melancholic",3.45,8479,54
1566,1566,To Mega Therion,Celtic Frost,1985-10-27,album,Thrash Metal,"Black Metal, Doom Metal","heavy, rhythmic, occult, energetic, aggressive, dark, ominous, fantasy, malevocals, conceptalbum",3.79,5806,87
2489,2489,Trilogy,"Emerson, Lake & Palmer",1972-01-01,album,"Progressive Rock, Symphonic Prog",NA,"technical, malevocals, complex, epic, triumphant, progressive, passionate, energetic, philosophical, uncommontimesignatures",3.58,3992,114
976,976,Vitalogy,Pearl Jam,1994-11-22,album,"Grunge, Alternative Rock","Experimental Rock, Hard Rock","angry, melancholic, malevocals, quirky, rebellious, eclectic, bittersweet, protest, melodic, sombre",3.58,7981,206
104,104,Heaven or Las Vegas,Cocteau Twins,1990-09-17,album,Dream Pop,"Ethereal Wave, Shoegaze","ethereal, atmospheric, femalevocals, warm, soothing, lush, romantic, cryptic, sensual, mellow",4.09,24284,211
4553,4553,Historian,Lucy Dacus,2018-03-02,album,"Indie Rock, Singer-Songwriter",Chamber Pop,"femalevocals, introspective, bittersweet, breakup, love, melancholic, melodic, sentimental, LGBT, passionate",3.45,2387,28
4948,4948,Everything Else Matters,Pinkshinyultrablast,2015-01-26,album,Shoegaze,"Dream Pop, Indie Pop","ethereal, warm, atmospheric, uplifting, melodic, lush, femalevocals, psychedelic, melancholic, progressive",3.34,2192,33
764,764,Pom Pom,Ariel Pink,2014-11-17,album,"Hypnagogic Pop, Psychedelic Pop","New Wave, Progressive Pop, Zolo","psychedelic, playful, eclectic, quirky, melodic, humorous, malevocals, sarcastic, sexual, surreal",3.59,9344,69
1967,1967,Black Foliage: Animation Music Volume 1,The Olivia Tremor Control,1999-03-23,album,"Neo-Psychedelia, Psychedelic Pop","Sound Collage, Field Recordings, Musiqueconcrète, Lo-Fi/Slacker Rock, Sunshine Pop, Progressive Pop","surreal, psychedelic, playful, malevocals, dense, fantasy, cryptic, spring, melodic, abstract",3.71,4795,60
275,275,Never Mind the Bollocks Here's the Sex Pistols,Sex Pistols,1977-10-28,album,Punk Rock,NA,"rebellious, malevocals, energetic, sarcastic, nihilistic, political, angry, misanthropic, raw, hedonistic",3.57,16625,594
3951,3951,Splazsh,Actress,2010-05-17,album,"Microhouse, Tech House","Glitch, Minimal Techno, Outsider House","futuristic, repetitive, hypnotic, rhythmic, atmospheric, surreal, lo-fi, abstract, psychedelic, dissonant",3.43,2705,34
3677,3677,Underneath,Code Orange,2020-03-13,album,"Metalcore, Industrial Metal","Alternative Metal, Glitch, Nu Metal","mechanical, heavy, aggressive, malevocals, futuristic, noisy, chaotic, dark, femalevocals, angry",3.28,2878,32
1372,1372,The Fool,Bladee,2021-05-28,album,"Cloud Rap, Trap, Pop Rap","Trance, Rage","spiritual, ethereal, religious, melodic, malevocals, lush, spring, happy, philosophical, romantic",3.43,6362,46
2067,2067,It's a Wonderful Life,Sparklehorse,2001-08-28,album,"Indie Rock, Indie Pop","Slowcore, Lo-Fi/Slacker Rock","depressive, melancholic, sombre, introspective, bittersweet, malevocals, mellow, lo-fi, lonely, melodic",3.78,4605,71
2511,2511,Love It to Death,Alice Cooper,1971-03-08,album,"Hard Rock, Glam Rock","Garage Rock, Acid Rock","rebellious, drugs, energetic, occult, sexual, malevocals, melodic, raw",3.79,3960,148
3644,3644,Dr. Feelgood,Mötley Crüe,1989-09-01,album,"Glam Metal, Hard Rock",NA,"hedonistic, energetic, sexual, malevocals, love, rebellious, heavy, uplifting, melodic, passionate",3.34,2902,88
2685,2685,Exciter,Depeche Mode,2001-05-15,album,Synthpop,"Ambient Pop, Trip Hop, Electronic","malevocals, dark, atmospheric, love, melodic, romantic, sombre, rhythmic, lush, melancholic",3.13,3739,96
607,607,Mogwai Young Team,Mogwai,1997-10-27,album,Post-Rock,Noise Rock,"atmospheric, melancholic, epic, instrumental, lonely, suspenseful, cold, nocturnal, sampling, sombre",3.72,10697,158
3738,3738,Rhythm Nation 1814,Janet Jackson,1989-08-24,album,"New Jack Swing, Dance-Pop","Post-Industrial, Art Pop","political, conscious, rhythmic, conceptalbum, femalevocals, passionate, urban, mechanical, love, energetic",3.73,2838,43
4912,4912,100% Electronica,George Clanton,2015-09-25,album,"Chillwave, Synthpop","Hypnagogic Pop, Vaporwave","love, melodic, atmospheric, passionate, malevocals, bittersweet, romantic, nocturnal, longing, psychedelic",3.63,2212,12
1187,1187,Purple Moonlight Pages,R.A.P. Ferreira,2020-03-06,album,"Jazz Rap, Abstract Hip Hop","Conscious Hip Hop, Jazz Poetry","poetic, introspective, malevocals, abstract, philosophical, sampling, rhythmic, optimistic, mellow, cryptic",3.66,6984,63
801,801,WORRY.,Jeff Rosenstock,2016-10-14,album,"Power Pop, Pop Punk, Indie Rock","Singer-Songwriter, Punk Rock","energetic, melodic, anxious, alcohol, love, introspective, political, malevocals, passionate, pessimistic",3.84,9096,66
3669,3669,Yellow Magic Orchestra,Yellow Magic Orchestra,1978-11-25,album,Synthpop,"Chiptune, Exotica, Electro-Disco","playful, quirky, futuristic, melodic, progressive, uplifting, mechanical, summer, tropical, sampling",3.7,2884,20
4631,4631,Horehound,The Dead Weather,2009-07-13,album,"Garage Rock, Blues Rock, Garage Rock Revival","Alternative Rock, Psychedelic Rock","energetic, femalevocals",3.3,2351,51
338,338,Bandana,Freddie Gibbs & Madlib,2019-06-28,album,Gangsta Rap,"Jazz Rap, Boom Bap, Conscious Hip Hop, West Coast Hip Hop","sampling, malevocals, drugs, crime, lush, urban, warm, introspective, hypnotic, boastful",3.79,14864,91
4075,4075,Discouraged Ones,Katatonia,1998-04-27,album,Gothic Metal,"Doom Metal, Alternative Metal, Shoegaze","depressive, melancholic, malevocals, cold, lonely, apathetic, atmospheric, dark, introspective, alienation",3.67,2629,50
2634,2634,qp,青葉市子 [Ichiko Aoba],2018-10-24,album,"Contemporary Folk, Singer-Songwriter",NA,"ethereal, soothing, calm, mellow, soft, femalevocals, sparse, acoustic, melancholic, melodic",3.78,3805,19
1279,1279,Space Is Only Noise,Nicolás Jaar,2011-02-14,album,"Electronic, Ambient Pop","Ambient House, Downtempo, Ambient Pop","atmospheric, melancholic, mysterious, rain, mellow, urban, aquatic, nocturnal, sampling, surreal",3.58,6627,59
4113,4113,Repentless,Slayer,2015-09-11,album,Thrash Metal,NA,"aggressive, malevocals, heavy, misanthropic, energetic, death, angry, hateful, infernal, nihilistic",2.81,2608,45
4298,4298,The Gay Parade,of Montreal,1999-02-16,album,"Psychedelic Pop, Indie Pop, Neo-Psychedelia","Baroque Pop, Sunshine Pop, Music Hall","playful, humorous, androgynousvocals, psychedelic, quirky, bittersweet, LGBT, melodic, energetic, conceptalbum",3.51,2509,47
2527,2527,Königsforst,GAS,1998-12-01,album,"Ambient Techno, Minimal Techno, Ambient",Drone,"repetitive, mellow, hypnotic, atmospheric, instrumental, calm, forest, ethereal, soothing, rhythmic",3.7,3934,30
2752,2752,Anoyo,Tim Hecker,2019-05-10,album,"Ambient, Electroacoustic","Gagaku, Drone, Post-Minimalism","mysterious, atmospheric, minimalistic, instrumental, ethereal, meditative, lonely, hypnotic, avant-garde, lush",3.44,3669,19
1126,1126,Tim,The Replacements,1985-09-18,album,"Alternative Rock, Power Pop","Jangle Pop, Punk Rock, Heartland Rock","bittersweet, melodic, malevocals, introspective, lonely, passionate, energetic, melancholic, sarcastic, sentimental",3.88,7276,145
1429,1429,Guero,Beck,2005-03-29,album,"Alternative Rock, Trip Hop","Hip Hop, Indie Rock, Alternative Dance","malevocals, eclectic, summer, warm, rhythmic, melodic, party, mellow",3.4,6223,164
3883,3883,Burning From the Inside,Bauhaus,1983-07-01,album,"Gothic Rock, Post-Punk",Art Rock,"malevocals, melancholic, surreal, eclectic, cryptic, dark, sombre, atmospheric, ethereal, cold",3.58,2745,38
747,747,Moondance,Van Morrison,1970-02-28,album,"Singer-Songwriter, Folk Rock","Rhythm & Blues, Blue-Eyed Soul, Jazz Pop","romantic, warm, mellow, pastoral, malevocals, acoustic, passionate, spiritual, poetic, autumn",3.96,9524,244
1038,1038,Rounds,Four Tet,2003-05-05,album,"Folktronica, IDM","Glitch, Downtempo","warm, rhythmic, autumn, instrumental, sampling, atmospheric, mellow, repetitive, calm, lush",3.72,7644,70
3124,3124,Bark at the Moon,Ozzy Osbourne,1983-12-01,album,"Heavy Metal, Hard Rock",NA,"malevocals, energetic, dark, fantasy, rebellious, melodic, nocturnal, anthemic, playful, heavy",3.47,3311,84
1351,1351,Lush,Snail Mail,2018-06-08,album,"Indie Rock, Indie Pop","Jangle Pop, Singer-Songwriter","femalevocals, lush, longing, melodic, melancholic, love, LGBT, summer, bittersweet, warm",3.25,6417,63
1730,1730,Hejira,Joni Mitchell,1976-11-22,album,"Singer-Songwriter, Folk Rock","Jazz Fusion, Vocal Jazz","poetic, femalevocals, melancholic, calm, introspective, warm, autumn, mellow, desert, pastoral",3.95,5375,124
1037,1037,"'Asunder, Sweet and Other Distress'",Godspeed You! Black Emperor,2015-03-31,album,"Post-Rock, Drone","Ambient, Drone, Post-Metal","instrumental, apocalyptic, atmospheric, epic, noisy, ominous, progressive, heavy, dense",3.28,7655,79
1322,1322,Queen,Queen,1973-07-13,album,Hard Rock,"Glam Rock, Art Rock, Progressive Rock, Heavy Metal","malevocals, melodic, energetic, optimistic, fantasy, anthemic, epic, playful, heavy, passionate",3.36,6493,174
4891,4891,Dialoghi del presente,Luciano Cilio,1977-01-01,album,Post-Minimalism,Chamber Music,"minimalistic, lonely, melancholic, calm, peaceful, passionate, sonata, avant-garde, sparse, mysterious",3.75,2221,22
